id,name,winningbid,metersread
215,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",899 Hours
216,1972 Cat D7F Crawler Dozer (Inoperable),"US $5,100",NONE
217,2015 Cat 308E2 CR Tracked Excavator,"US $51,000","2,537 Hours"
218,2013 Cat 246C Two-Speed Skid Steer Loader,"US $29,000",655 Hours
219,2013 Cat 336ELH Tracked Excavator,"US $98,000","7,588 Hours"
220,2011 Cat 299C Two-Speed High Flow XPS Compact Track Loader,"US $23,000","3,893 Hours"
221,2000 Cat 966G Wheel Loader,"US $51,000","22,766 Hours"
222,2018 Cat CB1.8 Double Drum Roller,"US $28,000",236 Hours
223,2005 Cat 330CL Tracked Excavator,"US $59,000","13,068 Hours"
224,1998 Cat 950G Wheel Loader,"US $70,000","14,889 Hours"
225,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $50,000",998 Hours
226,2007 Cat D6N LGP Crawler Dozer,"US $51,000","10,663 Hours"
227,2013 Cat 320EL Tracked Excavator,"US $65,000","6,124 Hours"
228,2006 Cat D6N LGP Crawler Dozer,"US $65,000","9,877 Hours"
229,1978 Cat 12G Motor Grader,"US $27,000","9,694 Hours"
230,2012 Cat 289C2 Two-Speed High Flow XPS Compact Track Loader,"US $20,000","6,794 Hours"
231,1996 Cat CP-563C Padfoot Drum Compactor,"US $54,500","8,612 Hours"
232,1999 Cat 140H VHP Motor Grader,"US $69,000","29,396 Hours"
233,2006 Cat CS-323C Smooth Drum Compactor,"US $26,500","1,309 Hours"
234,2003 Cat 725 Articulated Dump Truck,"US $82,000","14,591 Hours"
235,1997 Cat CS-563C Smooth Drum Compactor,"US $59,500","6,553 Hours"
236,2021 Cat 289D3 Two-Speed Compact Track Loader,"US $46,000","1,568 Hours"
237,2021 Cat 299D3 Two-Speed High Flow XPS Compact Track Loader,"US $63,000","1,450 Hours"
238,1996 Cat 120 Motor Grader,"US $47,000",195 Hours
239,2000 Cat CS-323C Smooth Drum Compactor,"US $22,500","4,815 Hours"
240,2007 Cat 330DL Tracked Excavator,"US $55,000",NONE
241,2019 Cat 308CR Tracked Excavator,"US $82,000","1,973 Hours"
242,2017 Cat 962M Wheel Loader,"US $59,000","10,944 Hours"
243,1985 Cat 627B Motor Scraper,"US $31,500","2,439 Hours"
244,1979 Cat 627B Motor Scraper (Inoperable),"US $3,400","13,855 Hours"
245,1986 Cat 627B Motor Scraper,"US $31,500","23,097 Hours"
246,1985 Cat 627B Motor Scraper,"US $37,000","1,686 Hours"
247,2021 Cat 906M Wheel Loader,"US $84,000",384 Hours
248,2008 Cat 324D FM High Walker Heel Boom Log Loader,"US $28,000","19,611 Hours"
249,2008 Cat D6T XW Crawler Dozer,"US $151,000","5,292 Hours"
250,2016 Cat D6K2 LGP Crawler Dozer,"US $129,000","4,980 Hours"
251,2019 Cat D6N LGP Crawler Dozer,"US $116,000","6,760 Hours"
252,2020 Cat D5K2 LGP Crawler Dozer,"US $170,000","1,880 Hours"
253,2008 Cat 773F Haul Truck,"US $156,000","33,951 Hours"
254,2012 Cat 772 Haul Truck,"US $136,000","17,702 Hours"
255,2014 Cat 772G Haul Truck,"US $180,000","13,577 Hours"
256,2013 Cat 730 Articulated Dump Truck,"US $185,000","7,742 Hours"
257,2014 Cat 772G Haul Truck,"US $184,000","13,789 Hours"
258,2014 Cat 773G Haul Truck,"US $182,000","16,463 Hours"
259,2014 Cat 772G Haul Truck,"US $234,000","14,397 Hours"
260,2001 Cat 627G Motor Scraper,"US $202,000","16,240 Hours"
261,2018 Cat 926M Wheel Loader,"US $116,000","3,049 Hours"
262,2002 Cat 815F Soil Compactor,"US $148,000","23,311 Hours"
263,2003 Cat 623G Elevating Motor Scraper,"US $176,000","4,021 Hours"
264,2013 Cat 730 6000 gal 6x6 Water Wagon,"US $132,000","12,024 Hours"
