id,name,winningbid,metersread
202,2019 Cat 309CR Tracked Excavator,"US $83,000","1,441 Hours"
203,2006 Cat 320CL Tracked Excavator,"US $35,500","18,893 Hours"
204,2004 Cat 304 CR Mini Excavator,"US $11,500","7,919 Hours"
205,2005 Cat 330C Tracked Excavator,"US $44,000","14,181 Hours"
206,2015 Cat 336FL Tracked Excavator,"US $95,000","6,239 Hours"
207,Cat 320BL Tracked Excavator,"US $17,500","19,388 Hours"
208,2013 Cat 336EL Tracked Excavator,"US $81,000","6,118 Hours"
209,2007 Cat 385CL Tracked Excavator,"US $66,000","20,339 Hours"
210,1998 Cat 330BL Tracked Excavator,"US $10,800","28,623 Hours"
211,2011 Cat 307D Tracked Excavator,"US $27,500","8,549 Hours"
212,2012 Cat 329EL Tracked Excavator,"US $73,000","7,736 Hours"
213,2010 Cat 328D LCR Tracked Excavator,"US $74,000",NONE
214,2008 Cat 308D CR Mini Excavator,"US $25,000","7,788 Hours"
215,2003 Cat 322C Tracked Excavator,"US $50,000","12,798 Hours"
216,2020 Cat 336GC Tracked Excavator,"US $98,000","12,692 Hours"
217,2004 Cat 385B Tracked Excavator,"US $82,000","14,622 Hours"
218,1993 Cat 235D Tracked Excavator,"US $17,500","2,010 Hours"
219,2015 Cat 301.4C Mini Excavator,"US $13,000","2,464 Hours"
220,2015 Cat 305E2 Mini Excavator,"US $33,000","1,595 Hours"
221,2004 Cat 304CR Mini Excavator,"US $16,000","5,600 Hours"
222,2016 Cat 311FLRR Tracked Excavator,"US $74,000","2,648 Hours"
223,2013 Cat 329EL Tracked Excavator,"US $67,000","12,228 Hours"
224,2005 Cat 345C Tracked Excavator,"US $6,000",NONE
225,2002 Cat 5110B Tracked Excavator,"US $23,250",NONE
226,2013 Cat 302.7D CR Mini Excavator,"US $20,500","4,149 Hours"
227,1995 Cat 325L Tracked Excavator,"US $20,500","13,212 Hours"
228,2004 Cat 325CL Tracked Excavator,"US $36,000","15,475 Hours"
229,2005 Cat 385CL Tracked Excavator,"US $39,000",NONE
230,2013 Cat 336E LH Tracked Excavator,"US $65,500","3,336 Hours"
231,2018 Cat 305.5E2 CR Mini Excavator,"US $38,000","2,368 Hours"
232,2006 Cat 324DL Tracked Excavator,"US $66,000","4,656 Hours"
233,2004 Cat 345B Tracked Excavator,"US $6,000","19,969 Hours"
234,2006 Cat 320CL Tracked Excavator,"US $56,000","14,857 Hours"
235,2004 Cat 315C L Tracked Excavator,"US $36,000","13,850 Hours"
236,2007 Cat 345CL Tracked Excavator,"US $34,000","25,699 Hours"
237,2001 Cat 345B L Tracked Excavator,"US $12,500","17,051 Hours"
238,2007 Cat 345CL Tracked Excavator,"US $28,000","18,035 Hours"
239,1995 Cat 311 Tracked Excavator,"US $16,500","21,365 Hours"
240,2008 Cat 324D Long Reach Amphibious Tracked Excavator,"US $51,000","7,894 Hours"
241,2004 Cat 312C Tracked Excavator,"US $20,500",NONE
242,Cat 345B Tracked Excavator,"US $9,000","19,571 Hours"
243,2005 Cat 320C L Tracked Excavator,"US $40,000","18,487 Hours"
244,2005 Cat 321C Tracked Excavator,"US $24,000","8,729 Hours"
245,Cat 322BL Tracked Excavator,"US $28,500","1,086 Hours"
246,1999 Cat 345BL Track Excavator,"US $24,500","16,478 Hours"
247,2007 Cat 345CL Tracked Excavator,"US $26,000","21,428 Hours"
248,2018 Cat 323 Tracked Excavator,"US $94,000","5,135 Hours"
249,2006 Cat 345C Tracked Excavator,"US $41,000",NONE
